Time,windspeed,pressure,radiation,temp
2021-02-28 00:00:00,2.81,69642,5.39E-11,2.72
2021-02-28 01:00:00,1.95,104012,5.39E-11,1.74
2021-02-28 02:00:00,1.66,103975,5.39E-11,1.78
2021-02-28 03:00:00,2.34,69599,5.39E-11,2.28
2021-02-28 04:00:00,1.78,103951,5.39E-11,1.7
2021-02-28 05:00:00,1.97,103920,-2.70E-10,1.62
2021-02-28 06:00:00,2.74,69579,11479,1.74
2021-02-28 07:00:00,2.13,103954,123532,2.18
2021-02-28 08:00:00,1.9,103960,285714,3.42
2021-02-28 09:00:00,3.05,69577,460159,4.88
2021-02-28 10:00:00,1.99,103936,620708,6.28
2021-02-28 11:00:00,2.23,103905,730368,7.61
2021-02-28 12:00:00,3.14,69514,989267,9.01
2021-02-28 13:00:00,3.41,103790,994048,10.1
2021-02-28 14:00:00,3.84,103740,793608,9.02
2021-02-28 15:00:00,4.06,69406,473519,8.53
2021-02-28 16:00:00,4.65,103666,156555,5.27
2021-02-28 17:00:00,4.9,103671,2381,4.12
2021-02-28 18:00:00,5.26,69367,0,5.5
2021-02-28 19:00:00,5.49,103620,0,3.69
2021-02-28 20:00:00,5.42,103659,0,3.54
2021-02-28 21:00:00,5.88,69402,0,4.27
2021-02-28 22:00:00,5.05,103673,0,3.17
2021-02-28 23:00:00,4.81,103661,0,3.17
2021-03-01 00:00:00,5.25,69364,5.39E-11,3.59
2021-03-01 01:00:00,4.87,103589,5.39E-11,3.37
2021-03-01 02:00:00,5.12,103569,5.39E-11,3.37
2021-03-01 03:00:00,5.23,69308,5.39E-11,2.98
2021-03-01 04:00:00,5.1,103520,5.39E-11,3.21
2021-03-01 05:00:00,5.1,103535,-2.70E-10,3.1
2021-03-01 06:00:00,5.65,69325,19243,2.46
2021-03-01 07:00:00,5.26,103587,189796,3.89
2021-03-01 08:00:00,5.29,103603,456357,5.13
2021-03-01 09:00:00,5.5,69339,808431,5.58
2021-03-01 10:00:00,4.58,103574,1299260,9.45
2021-03-01 11:00:00,4.6,103499,1652775,11.4
2021-03-01 12:00:00,5.35,69257,1719339,9.24
